SKU;Item Name;Brand;availability;SOH;Invoice Price ex GST;RRP Inc GST;Barcode;Shipping_Weight (Kg);Shipping_Length (Cm);Shipping_Width (Cm);Shipping_Height (Cm);Image_Link
T00226;Jays x-Five Wireless (Black);Jays;in stock;14;91,3;149,99;8,58E+11;0;0;0;0;https://res.cloudinary.com/dbrtm8pf6/image/upload/v1601950578/uploads/624cebf8/products/1455/images/x-FiveWirelessBlackEdition_01_400x_1601948624_1601950577.png
T00227;Jays m-Seven True Wireless (Black);Jays;in stock;18;139,99;229,99;8,58E+11;0;0;0;0;https://res.cloudinary.com/dbrtm8pf6/image/upload/v1601950599/uploads/624cebf8/products/1456/images/T00227_01_1586144158_1601950598.png
T00234;Jays m-Five True Wireless (Black);Jays;in stock;15;91,3;149,99;7,35E+12;0;0;0;0;https://res.cloudinary.com/dbrtm8pf6/image/upload/v1601950668/uploads/624cebf8/products/2507/images/m-FiveTrueWirelessBlackEdition_01_400x_1601948983_1601950668.jpg
T00231;Jays q-Seven Wireless;Jays;in stock;21;170,43;279,99;7,35E+12;0;0;0;0;https://res.cloudinary.com/dbrtm8pf6/image/upload/v1601950699/uploads/624cebf8/products/2508/images/T00231_01_1593057249_1601950699.jpg
T00240;Jays f-Five True Wireless Black;Jays;in stock;20;91,3;149,99;7,35E+12;0;2,2;13;13;https://res.cloudinary.com/dbrtm8pf6/image/upload/v1601950708/uploads/624cebf8/products/2781/images/f-FiveTrueWirelessBlack_01_736cc1d0-980f-46a8-a109-65b5a315c59b_400x_1601945325_1601950708.jpg
T00501;Jays s-Go One (Graphite Black);Jays;in stock;3;91,3;149,99;7,35E+12;0;0;0;0;https://res.cloudinary.com/dbrtm8pf6/image/upload/v1597992070/uploads/624cebf8/products/1508/images/T00501_01_1586139583_1597992070.jpg
T00502;Jays s-Go One (Concrete White);Jays;in stock;22;91,3;149,99;7,35E+12;0;0;0;0;https://res.cloudinary.com/dbrtm8pf6/image/upload/v1597992050/uploads/624cebf8/products/1509/images/T00502_01_1586139617_1597992049.jpg
T00503;JAYS s-Go Three (Graphite Black);Jays;in stock;11;115,65;189,99;7,35E+12;0;0;0;0;https://res.cloudinary.com/dbrtm8pf6/image/upload/v1586143089/uploads/624cebf8/products/1510/images/T00503_01__1586142928_1586143088.jpg
T00504;JAYS s-Go Three (Concrete White);Jays;in stock;12;115,65;189,99;7,35E+12;0;0;0;0;https://res.cloudinary.com/dbrtm8pf6/image/upload/v1586143064/uploads/624cebf8/products/1511/images/T00504_01_1586142881_1586143063.jpg
KS13MMUSBL000-0;Mad Catz S.T.R.I.K.E. 4;Mad Catz;in stock;28;156,52;239,99;4,90E+12;0;0;0;0;https://res.cloudinary.com/dbrtm8pf6/image/upload/v1572840018/uploads/624cebf8/products/1535/images/1_1572488040_1572839960.jpg
